Phi,P, Mass_Flow_Rate_C1-Inlet1_2, Reactant_N2_(mole_fraction), Temperature_(K),H2, H,O,O2,OH,H2O, CO,CO2,NO,NO2,N2
0.5,1,86,1,2269.904,0.0003377660,0.0001521690,0.0012226680,0.0863539200,0.0039550760,0.0568971200,0.0037513310,0.1148287000,0.0066829120,0.0000049974,0.7258098000
0.5,1,114,2,2199.101,0.0002151110,0.0000824677,0.0007738290,0.0825229400,0.0028978280,0.0543292200,0.0022923720,0.1097789000,0.0039072650,0.0000031378,0.7431943000
0.5,1,142,3,2129.426,0.0001344380,0.0000435485,0.0004807370,0.0789357400,0.0020974130,0.0518969200,0.0013691700,0.1048362000,0.0019237880,0.0000016683,0.7582784000
0.5,1,170,4,2061.121,0.0000828088,0.0000225196,0.0002936390,0.0753962600,0.0015011100,0.0496047900,0.0008036900,0.1000964000,0.0008767140,0.0000008247,0.7713198000
0.5,10,86,1,2293.787,0.0001260000,0.0000333000,0.0004410000,0.0848000000,0.0024400000,0.0580000000,0.0014200000,0.1170000000,0.0091200000,0.0000207000,0.7260000000
0.5,10,114,2,2212.307,0.0000755000,0.0000166000,0.0002630000,0.0809000000,0.0017200000,0.0552000000,0.0008110000,0.1110000000,0.0067700000,0.0000167000,0.7430000000
0.5,10,142,3,2137.053,0.0000453000,0.0000083200,0.0001580000,0.0777000000,0.0012200000,0.0525000000,0.0004620000,0.1060000000,0.0042000000,0.0000113000,0.7580000000
0.5,10,170,4,2066.673,0.0000272000,0.0000041700,0.0000949000,0.0748000000,0.0008620000,0.0500000000,0.0002640000,0.1010000000,0.0020300000,0.0000059700,0.7710000000
0.5,50,86,1,2302.884,0.0000601000,0.0000108000,0.0002070000,0.0845000000,0.0017000000,0.0585000000,0.0006800000,0.1180000000,0.0095800000,0.0000481000,0.7260000000
0.5,50,114,2,2216.765,0.0000350000,0.0000051800,0.0001200000,0.0805000000,0.0011700000,0.0555000000,0.0003760000,0.1120000000,0.0076500000,0.0000419000,0.7430000000
0.5,50,142,3,2137.788,0.0000205000,0.0000025200,0.0000706000,0.0770000000,0.0008170000,0.0527000000,0.0002090000,0.1060000000,0.0056900000,0.0000340000,0.7570000000
0.5,50,170,4,2065.781,0.0000122000,0.0000012400,0.0000420000,0.0741000000,0.0005730000,0.0502000000,0.0001180000,0.1010000000,0.0035700000,0.0000233000,0.7710000000
0.5,100,86,1,2305.495,0.0000433000,0.0000065500,0.0001490000,0.0844000000,0.0014400000,0.0587000000,0.0004900000,0.1180000000,0.0096700000,0.0000683000,0.7270000000
0.5,100,114,2,2218.157,0.0000250000,0.0000031200,0.0000859000,0.0804000000,0.0009930000,0.0556000000,0.0002690000,0.1120000000,0.0078100000,0.0000603000,0.7430000000
0.5,100,142,3,2138.033,0.0000146000,0.0000015000,0.0000499000,0.0768000000,0.0006870000,0.0528000000,0.0001490000,0.1060000000,0.0060600000,0.0000512000,0.7570000000
0.5,100,170,4,2065.003,0.0000085900,0.0000007330,0.0000294000,0.0737000000,0.0004800000,0.0502000000,0.0000830000,0.1010000000,0.0042000000,0.0000389000,0.7700000000
0.7,1,86,1,2438.038,0.0013900000,0.0007110000,0.0024000000,0.0515000000,0.0070900000,0.0724000000,0.0161000000,0.1390000000,0.0093700000,0.0000044300,0.7000000000
0.7,1,114,2,2360.14,0.0009210000,0.0003990000,0.0015100000,0.0468000000,0.0051800000,0.0686000000,0.0104000000,0.1340000000,0.0073500000,0.0000036200,0.7250000000
0.7,1,142,3,2282.329,0.0005870000,0.0002150000,0.0009330000,0.0433000000,0.0037300000,0.0650000000,0.0064400000,0.1290000000,0.0051400000,0.0000026800,0.7460000000
0.7,1,170,4,2205.101,0.0003630000,0.0001110000,0.0005670000,0.0407000000,0.0026600000,0.0617000000,0.0038300000,0.1230000000,0.0029800000,0.0000016600,0.7640000000
0.7,10,86,1,2512.189,0.0006810000,0.0002190000,0.0010600000,0.0480000000,0.0050500000,0.0748000000,0.0083800000,0.1480000000,0.0106000000,0.0000142000,0.7030000000
0.7,10,114,2,2413.006,0.0004080000,0.0001080000,0.0006170000,0.0441000000,0.0034800000,0.0704000000,0.0048300000,0.1400000000,0.0086200000,0.0000123000,0.7270000000
0.7,10,142,3,2316.82,0.0002360000,0.0000513000,0.0003510000,0.0411000000,0.0023700000,0.0663000000,0.0026700000,0.1330000000,0.0068300000,0.0000105000,0.7470000000
0.7,10,170,4,2225.595,0.0001340000,0.0000238000,0.0001980000,0.0389000000,0.0016100000,0.0626000000,0.0014400000,0.1260000000,0.0050000000,0.0000084100,0.7640000000
0.7,50,86,1,2546.796,0.0003710000,0.0000839000,0.0005530000,0.0464000000,0.0037500000,0.0760000000,0.0046900000,0.1520000000,0.0111000000,0.0000314000,0.7050000000
0.7,50,114,2,2435.269,0.0002090000,0.0000384000,0.0003060000,0.0431000000,0.0025100000,0.0713000000,0.0025200000,0.1430000000,0.0089400000,0.0000274000,0.7280000000
0.7,50,142,3,2330.243,0.0001160000,0.0000172000,0.0001680000,0.0405000000,0.0016700000,0.0669000000,0.0013200000,0.1340000000,0.0071300000,0.0000240000,0.7480000000
0.7,50,170,4,2232.73,0.0000635000,0.0000076200,0.0000918000,0.0383000000,0.0011100000,0.0630000000,0.0006860000,0.1260000000,0.0055800000,0.0000206000,0.7650000000
0.7,100,86,1,2557.572,0.0002790000,0.0000538000,0.0004090000,0.0459000000,0.0032600000,0.0765000000,0.0035500000,0.1530000000,0.0113000000,0.0000444000,0.7060000000
0.7,100,114,2,2441.805,0.0001540000,0.0000240000,0.0002230000,0.0428000000,0.0021600000,0.0715000000,0.0018600000,0.1440000000,0.0090200000,0.0000387000,0.7280000000
0.7,100,142,3,2334.046,0.0000839000,0.0000106000,0.0001210000,0.0403000000,0.0014200000,0.0671000000,0.0009620000,0.1350000000,0.0072000000,0.0000340000,0.7480000000
0.7,100,170,4,2234.78,0.0000456000,0.0000046200,0.0000657000,0.0382000000,0.0009380000,0.0631000000,0.0004930000,0.1270000000,0.0056800000,0.0000296000,0.7650000000
1,1,86,1,2543.232,0.0046100000,0.0020600000,0.0025600000,0.0205000000,0.0087600000,0.0903000000,0.0489000000,0.1520000000,0.0070900000,0.0000018900,0.6630000000
1,1,114,2,2461.17,0.0033800000,0.0012300000,0.0014700000,0.0152000000,0.0061000000,0.0847000000,0.0358000000,0.1480000000,0.0053600000,0.0000013400,0.6990000000
1,1,142,3,2379.973,0.0024500000,0.0007180000,0.0008220000,0.0111000000,0.0041700000,0.0796000000,0.0257000000,0.1430000000,0.0038500000,0.0000009000,0.7280000000
1,1,170,4,2299.471,0.0017500000,0.0004090000,0.0004490000,0.0080200000,0.0028100000,0.0748000000,0.0181000000,0.1380000000,0.0025100000,0.0000005500,0.7530000000
1,10,86,1,2663.339,0.0031200000,0.0008730000,0.0011700000,0.0143000000,0.0065200000,0.0945000000,0.0364000000,0.1660000000,0.0072700000,0.0000045800,0.6700000000
1,10,114,2,2558.839,0.0021800000,0.0004790000,0.0006080000,0.0100000000,0.0042600000,0.0879000000,0.0252000000,0.1600000000,0.0052700000,0.0000030600,0.7040000000
1,10,142,3,2457.131,0.0015100000,0.0002550000,0.0003060000,0.0068500000,0.0027300000,0.0819000000,0.0171000000,0.1530000000,0.0037200000,0.0000019800,0.7330000000
1,10,170,4,2358.491,0.0010300000,0.0001320000,0.0001480000,0.0046000000,0.0017100000,0.0766000000,0.0113000000,0.1460000000,0.0025400000,0.0000012400,0.7560000000
1,50,86,1,2736.577,0.0022700000,0.0004390000,0.0006080000,0.0105000000,0.0049600000,0.0969000000,0.0280000000,0.1760000000,0.0069600000,0.0000078400,0.6740000000
1,50,114,2,2615.311,0.0015400000,0.0002270000,0.0002950000,0.0070000000,0.0031000000,0.0896000000,0.0186000000,0.1670000000,0.0048500000,0.0000049800,0.7080000000
1,50,142,3,2499.222,0.0010300000,0.0001140000,0.0001380000,0.0046000000,0.0019000000,0.0832000000,0.0121000000,0.1580000000,0.0032900000,0.0000030800,0.7350000000
1,50,170,4,2388.742,0.0006790000,0.0000556000,0.0000629000,0.0029700000,0.0011500000,0.0774000000,0.0077100000,0.1500000000,0.0021900000,0.0000018600,0.7580000000
1,100,86,1,2764.703,0.0019600000,0.0003200000,0.0004470000,0.0089700000,0.0043400000,0.0978000000,0.0247000000,0.1790000000,0.0067200000,0.0000096800,0.6750000000
1,100,114,2,2636.229,0.0013100000,0.0001610000,0.0002100000,0.0059000000,0.0026600000,0.0903000000,0.0161000000,0.1700000000,0.0046000000,0.0000060200,0.7090000000
1,100,142,3,2514.247,0.0008630000,0.0000787000,0.0000958000,0.0038100000,0.0016000000,0.0836000000,0.0103000000,0.1600000000,0.0030800000,0.0000036500,0.7360000000
1,100,170,4,2399.151,0.0005630000,0.0000376000,0.0000425000,0.0024300000,0.0009510000,0.0777000000,0.0064600000,0.1510000000,0.0020200000,0.0000021700,0.7590000000
1.3,1,86,1,2543.199,0.0100000000,0.0030300000,0.0013500000,0.0057000000,0.0068100000,0.1030000000,0.0896000000,0.1470000000,0.0036500000,0.0000005140,0.6300000000
1.3,1,114,2,2430.412,0.0083100000,0.0016800000,0.0004930000,0.0023400000,0.0036700000,0.0953000000,0.0730000000,0.1400000000,0.0019600000,0.0000001990,0.6740000000
1.3,1,142,3,2308.73,0.0073600000,0.0008870000,0.0001410000,0.0007030000,0.0017200000,0.0877000000,0.0618000000,0.1310000000,0.0008760000,0.0000000557,0.7080000000
1.3,1,170,4,2182.665,0.0069300000,0.0004720000,0.0000355000,0.0001760000,0.0007450000,0.0805000000,0.0546000000,0.1220000000,0.0003740000,0.0000000134,0.7350000000
1.3,10,86,1,2640.659,0.0085800000,0.0013200000,0.0003980000,0.0020300000,0.0040100000,0.1080000000,0.0817000000,0.1560000000,0.0025700000,0.0000005110,0.6350000000
1.3,10,114,2,2486.481,0.0075500000,0.0006510000,0.0000979000,0.0005220000,0.0017200000,0.0980000000,0.0687000000,0.1450000000,0.0010400000,0.0000001490,0.6770000000
1.3,10,142,3,2333.77,0.0070600000,0.0003060000,0.0000191000,0.0001000000,0.0006500000,0.0890000000,0.0602000000,0.1330000000,0.0003500000,0.0000000260,0.7090000000
1.3,10,170,4,2193.123,0.0068300000,0.0001420000,0.0000033600,0.0000169000,0.0002320000,0.0811000000,0.0540000000,0.1220000000,0.0001110000,0.0000000000,0.7350000000
1.3,50,86,1,2684.088,0.0080100000,0.0006770000,0.0001260000,0.0007020000,0.0023400000,0.1100000000,0.0782000000,0.1610000000,0.0016200000,0.0000004950,0.6380000000
1.3,50,114,2,2504.541,0.0073400000,0.0003110000,0.0000243000,0.0001340000,0.0008720000,0.0990000000,0.0674000000,0.1460000000,0.0005460000,0.0000000868,0.6780000000
1.3,50,142,3,2339.988,0.0070000000,0.0001410000,0.0000041400,0.0000220000,0.0003050000,0.0894000000,0.0598000000,0.1330000000,0.0001660000,0.0000000128,0.7100000000
1.3,50,170,4,2195.239,0.0068100000,0.0000640000,0.0000006930,0.0000034900,0.0001060000,0.0812000000,0.0539000000,0.1220000000,0.0000494000,0.0000000000,0.7350000000
1.3,100,86,1,2696.349,0.0078600000,0.0004970000,0.0000718000,0.0004080000,0.0017800000,0.1110000000,0.0772000000,0.1620000000,0.0012600000,0.0000004110,0.6380000000
1.3,100,114,2,2508.9,0.0072900000,0.0002230000,0.0000128000,0.0000713000,0.0006350000,0.0992000000,0.0671000000,0.1470000000,0.0004010000,0.0000000653,0.6780000000
1.3,100,142,3,2341.413,0.0069900000,0.0001000000,0.0000021100,0.0000112000,0.0002180000,0.0895000000,0.0597000000,0.1340000000,0.0001190000,0.0000000000,0.7100000000
1.3,100,170,4,2195.721,0.0068100000,0.0000454000,0.0000003490,0.0000017600,0.0000750000,0.0813000000,0.0539000000,0.1220000000,0.0000351000,0.0000000000,0.7360000000
1.5,1,86,1,2496.606,0.0153000000,0.0030700000,0.0005950000,0.0017400000,0.0045000000,0.1090000000,0.1190000000,0.1370000000,0.0018300000,0.0000001490,0.6080000000
1.5,1,114,2,2345.253,0.0138000000,0.0014400000,0.0001250000,0.0003720000,0.0017700000,0.0984000000,0.1010000000,0.1260000000,0.0006740000,0.0000000300,0.6560000000
1.5,1,142,3,2192.057,0.0131000000,0.0006610000,0.0000217000,0.0000627000,0.0006160000,0.0886000000,0.0893000000,0.1150000000,0.0002430000,0.0000000000,0.6920000000
1.5,1,170,4,2052.067,0.0127000000,0.0003590000,0.0000050600,0.0000143000,0.0002480000,0.0799000000,0.0800000000,0.1060000000,0.0001010000,0.0000000000,0.7210000000
1.5,10,86,1,2555.302,0.0145000000,0.0012200000,0.0001130000,0.0003580000,0.0020700000,0.1120000000,0.1160000000,0.1410000000,0.0009230000,0.0000001020,0.6120000000
1.5,10,114,2,2367.626,0.0136000000,0.0005010000,0.0000162000,0.0000495000,0.0006500000,0.0999000000,0.1010000000,0.1270000000,0.0002530000,0.0000000127,0.6570000000
1.5,10,142,3,2200.212,0.0130000000,0.0002040000,0.0000021200,0.0000061300,0.0001940000,0.0892000000,0.0891000000,0.1160000000,0.0000652000,0.0000000000,0.6930000000
1.5,10,170,4,2055.961,0.0127000000,0.0000844000,0.0000002830,0.0000007890,0.0000589000,0.0801000000,0.0799000000,0.1060000000,0.0000198000,0.0000000000,0.7210000000
1.5,50,86,1,2574.189,0.0143000000,0.0005840000,0.0000276000,0.0000895000,0.0010400000,0.1130000000,0.1150000000,0.1420000000,0.0004770000,0.0000000576,0.6130000000
1.5,50,114,2,2373.408,0.0135000000,0.0002300000,0.0000034700,0.0000107000,0.0003030000,0.1000000000,0.1000000000,0.1280000000,0.0001190000,0.0000000000,0.6570000000
1.5,50,142,3,2202.004,0.0130000000,0.0000920000,0.0000004340,0.0000012600,0.0000882000,0.0893000000,0.0891000000,0.1160000000,0.0000292000,0.0000000000,0.6930000000
1.5,50,170,4,2056.584,0.0127000000,0.0000377000,0.0000000565,0.0000001570,0.0000264000,0.0802000000,0.0799000000,0.1060000000,0.0000073100,0.0000000000,0.7210000000
1.5,100,86,1,2578.835,0.0143000000,0.0004210000,0.0000145000,0.0000472000,0.0007580000,0.1140000000,0.1150000000,0.1430000000,0.0003490000,0.0000000431,0.6130000000
1.5,100,114,2,2374.771,0.0135000000,0.0001640000,0.0000017600,0.0000054400,0.0002160000,0.1000000000,0.1000000000,0.1280000000,0.0000851000,0.0000000000,0.6580000000
1.5,100,142,3,2202.424,0.0130000000,0.0000652000,0.0000002180,0.0000006320,0.0000626000,0.0893000000,0.0891000000,0.1160000000,0.0000207000,0.0000000000,0.6930000000
1.5,100,170,4,2056.725,0.0127000000,0.0000267000,0.0000000283,0.0000000782,0.0000187000,0.0802000000,0.0799000000,0.1060000000,0.0000050800,0.0000000000,0.7210000000
1.7,1,86,1,2421.418,0.0221000000,0.0026300000,0.0001980000,0.0004120000,0.0025000000,0.1110000000,0.1470000000,0.1250000000,0.0007680000,0.0000000330,0.5880000000
1.7,1,114,2,2240.45,0.0207000000,0.0010500000,0.0000258000,0.0000518000,0.0007380000,0.0985000000,0.1280000000,0.1130000000,0.0002210000,0.0000000000,0.6390000000
1.7,1,142,3,2075.926,0.0198000000,0.0004670000,0.0000039700,0.0000077300,0.0002350000,0.0871000000,0.1120000000,0.1020000000,0.0000774000,0.0000000000,0.6780000000
1.7,1,170,4,1934.352,0.0192000000,0.0003070000,0.0000013000,0.0000026200,0.0001090000,0.0775000000,0.1000000000,0.0935000000,0.0000321000,0.0000000000,0.7090000000
1.7,10,86,1,2451.957,0.0219000000,0.0009490000,0.0000277000,0.0000594000,0.0009640000,0.1140000000,0.1470000000,0.1260000000,0.0003080000,0.0000000154,0.5890000000
1.7,10,114,2,2250.15,0.0206000000,0.0003380000,0.0000027500,0.0000055600,0.0002440000,0.0992000000,0.1280000000,0.1130000000,0.0000657000,0.0000000000,0.6390000000
1.7,10,142,3,2079.796,0.0198000000,0.0001230000,0.0000002760,0.0000005320,0.0000622000,0.0874000000,0.1120000000,0.1020000000,0.0000151000,0.0000000000,0.6780000000
1.7,10,170,4,1936.788,0.0192000000,0.0000466000,0.0000000302,0.0000000963,0.0000167000,0.0777000000,0.1000000000,0.0935000000,0.0000047700,0.0000000000,0.7090000000
1.7,50,86,1,2460.526,0.0218000000,0.0004410000,0.0000060900,0.0000131000,0.0004560000,0.1140000000,0.1470000000,0.1260000000,0.0001470000,0.0000000000,0.5900000000
1.7,50,114,2,2252.516,0.0206000000,0.0001530000,0.0000005670,0.0000011500,0.0001110000,0.0994000000,0.1280000000,0.1130000000,0.0000299000,0.0000000000,0.6390000000
1.7,50,142,3,2080.512,0.0198000000,0.0000549000,0.0000000554,0.0000001070,0.0000279000,0.0874000000,0.1120000000,0.1020000000,0.0000060600,0.0000000000,0.6780000000
1.7,50,170,4,1937.054,0.0192000000,0.0000205000,0.0000000058,0.0000000187,0.0000073300,0.0777000000,0.1000000000,0.0935000000,0.0000009530,0.0000000000,0.7090000000
1.7,100,86,1,2462.591,0.0218000000,0.0003150000,0.0000031200,0.0000067300,0.0003270000,0.1140000000,0.1470000000,0.1260000000,0.0001060000,0.0000000000,0.5900000000
1.7,100,114,2,2253.081,0.0206000000,0.0001090000,0.0000002850,0.0000005780,0.0000788000,0.0994000000,0.1280000000,0.1130000000,0.0000213000,0.0000000000,0.6390000000
1.7,100,142,3,2080.682,0.0198000000,0.0000389000,0.0000000278,0.0000000531,0.0000198000,0.0874000000,0.1120000000,0.1020000000,0.0000042400,0.0000000000,0.6780000000
1.7,100,170,4,1937.11,0.0192000000,0.0000145000,0.0000000029,0.0000000080,0.0000051900,0.0777000000,0.1000000000,0.0935000000,0.0000004210,0.0000000000,0.7090000000
2,1,86,1,2290.548,0.0342000000,0.0017300000,0.0000307000,0.0000417000,0.0008890000,0.1110000000,0.1850000000,0.1080000000,0.0001920000,0.0000000000,0.5590000000
2,1,114,2,2091.268,0.0321000000,0.0006110000,0.0000028900,0.0000037500,0.0002130000,0.0953000000,0.1590000000,0.0964000000,0.0000495000,0.0000000000,0.6160000000
2,1,142,3,1924.229,0.0305000000,0.0003400000,0.0000006600,0.0000009290,0.0000794000,0.0826000000,0.1390000000,0.0875000000,0.0000167000,0.0000000000,0.6600000000
2,1,170,4,1785.719,0.0293000000,0.0002810000,0.0000003290,0.0000005600,0.0000442000,0.0723000000,0.1230000000,0.0806000000,0.0000074800,0.0000000000,0.6950000000
2,10,86,1,2302.94,0.0342000000,0.0005750000,0.0000034800,0.0000047500,0.0003040000,0.1120000000,0.1850000000,0.1080000000,0.0000634000,0.0000000000,0.5600000000
2,10,114,2,2095.23,0.0321000000,0.0001720000,0.0000002300,0.0000002990,0.0000603000,0.0956000000,0.1590000000,0.0964000000,0.0000103000,0.0000000000,0.6170000000
2,10,142,3,1926.47,0.0306000000,0.0000544000,0.0000000169,0.0000000528,0.0000127000,0.0827000000,0.1390000000,0.0875000000,0.0000019000,0.0000000000,0.6600000000
2,10,170,4,1787.579,0.0294000000,0.0000200000,0.0000000017,0.0000001300,0.0000031500,0.0724000000,0.1230000000,0.0805000000,0.0000003340,0.0000000000,0.6950000000
2,50,86,1,2306.203,0.0342000000,0.0002620000,0.0000007240,0.0000009900,0.0001390000,0.1120000000,0.1850000000,0.1080000000,0.0000292000,0.0000000000,0.5600000000
2,50,114,2,2096.057,0.0321000000,0.0000771000,0.0000000464,0.0000000600,0.0000271000,0.0956000000,0.1590000000,0.0963000000,0.0000043300,0.0000000000,0.6170000000
2,50,142,3,1926.721,0.0306000000,0.0000240000,0.0000000033,0.0000000100,0.0000056200,0.0827000000,0.1390000000,0.0875000000,0.0000002370,0.0000000000,0.6600000000
2,50,170,4,1787.667,0.0294000000,0.0000078800,0.0000000003,0.0000000254,0.0000012400,0.0724000000,0.1230000000,0.0805000000,0.0000000134,0.0000000000,0.6950000000
2,100,86,1,2306.991,0.0342000000,0.0001860000,0.0000003650,0.0000005000,0.0000988000,0.1120000000,0.1850000000,0.1080000000,0.0000208000,0.0000000000,0.5600000000
2,100,114,2,2096.259,0.0321000000,0.0000546000,0.0000000233,0.0000000299,0.0000192000,0.0956000000,0.1590000000,0.0963000000,0.0000029800,0.0000000000,0.6170000000
2,100,142,3,1926.774,0.0306000000,0.0000169000,0.0000000000,0.0000000039,0.0000039800,0.0827000000,0.1390000000,0.0875000000,0.0000000834,0.0000000000,0.6600000000
2,100,170,4,1787.7,0.0294000000,0.0000055400,0.0000000000,0.0000000084,0.0000008760,0.0724000000,0.1230000000,0.0805000000,0.0000000000,0.0000000000,0.6950000000
2.3,1,86,1,2164.46,0.0470000000,0.0010500000,0.0000049000,0.0000047500,0.0003140000,0.1070000000,0.2150000000,0.0948000000,0.0000518000,0.0000000000,0.5350000000
2.3,1,114,2,1960.89,0.0438000000,0.0004080000,0.0000005340,0.0000005590,0.0000777000,0.0901000000,0.1830000000,0.0850000000,0.0000124000,0.0000000000,0.5970000000
2.3,1,142,3,1796.67,0.0413000000,0.0002910000,0.0000001930,0.0000003050,0.0000354000,0.0768000000,0.1590000000,0.0777000000,0.0000044200,0.0000000000,0.6450000000
2.3,1,170,4,1663.03,0.0394000000,0.0002480000,0.0000000998,0.0000003230,0.0000195000,0.0662000000,0.1400000000,0.0719000000,0.0000020200,0.0000000000,0.6830000000
2.3,10,86,1,2170.41,0.0471000000,0.0003270000,0.0000004820,0.0000004670,0.0000992000,0.1070000000,0.2150000000,0.0947000000,0.0000141000,0.0000000000,0.5350000000
2.3,10,114,2,1963.27,0.0438000000,0.0000841000,0.0000000228,0.0000000382,0.0000161000,0.0902000000,0.1830000000,0.0849000000,0.0000013800,0.0000000000,0.5980000000
2.3,10,142,3,1798.46,0.0413000000,0.0000247000,0.0000000014,0.0000000973,0.0000030200,0.0769000000,0.1590000000,0.0776000000,0.0000001280,0.0000000000,0.6450000000
2.3,10,170,4,1664.56,0.0394000000,0.0000108000,0.0000000002,0.0000003320,0.0000008530,0.0663000000,0.1400000000,0.0718000000,0.0000000298,0.0000000000,0.6830000000
2.3,50,86,1,2171.87,0.0472000000,0.0001470000,0.0000000982,0.0000000951,0.0000449000,0.1080000000,0.2150000000,0.0947000000,0.0000064100,0.0000000000,0.5350000000
2.3,50,114,2,1963.62,0.0438000000,0.0000374000,0.0000000045,0.0000000071,0.0000071800,0.0903000000,0.1830000000,0.0849000000,0.0000001840,0.0000000000,0.5980000000
2.3,50,142,3,1798.57,0.0413000000,0.0000102000,0.0000000000,0.0000000177,0.0000012500,0.0769000000,0.1590000000,0.0776000000,0.0000000049,0.0000000000,0.6450000000
2.3,50,170,4,1664.64,0.0394000000,-0.0000030600,0.0000000000,-0.0000000789,-0.0000002420,0.0663000000,0.1400000000,0.0718000000,0.0000000000,0.0000000000,0.6830000000
2.3,100,86,1,2172.24,0.0472000000,0.0001040000,0.0000000493,0.0000000478,0.0000318000,0.1080000000,0.2150000000,0.0947000000,0.0000045100,0.0000000000,0.5350000000
2.3,100,114,2,1963.7,0.0438000000,0.0000265000,0.0000000000,0.0000000030,0.0000050800,0.0903000000,0.1830000000,0.0849000000,0.0000000725,0.0000000000,0.5980000000
2.3,100,142,3,1798.59,0.0413000000,0.0000072100,0.0000000000,0.0000000057,0.0000008810,0.0769000000,0.1590000000,0.0776000000,0.0000000000,0.0000000000,0.6450000000
2.3,100,170,4,1664.56,0.0394000000,0.0000021000,0.0000000000,0.0000000226,0.0000001660,0.0663000000,0.1400000000,0.0718000000,0.0000000000,0.0000000000,0.6830000000
